no.,Questions,Answers
1,do college grades matter in placement,"Yes , your cgpa is important for placements "
2,How many societies will i be able to manage in my first year?,That depends on how you manage your time but 1 to 3 should be fine 
3,"and most importantly HOW will I know about the Scholarship opportunities , their applications and their deadlines","Updates about opportunities are sent on whatsapp groups and email by you class representatives or tnp coordinators and you can join telegram groups like minerva and technical resources to stay updated , keep checking linkedin to know about opportunities "
4,can i ask seniors for their books?,"Yes , of course :)"
5,is the scholarship form open?,Which scholarship form are you asking about?
6,prog. language and DSA mastery by which year ,Opportunites come in every year so it is better to learn as early as possible but as far as 1st year is concerned try learning a programming language and by the end of second year you should master dsa 
7,I don't get time for self study can't able to manage my time ,"Try preparing a time table for yourself and adhering to it , staying consistent will help you manage your time efficiently"
8,From where to study the syllabus,"The syllabus given by college has recommended books , those books can be used to study the syllabus and resources given by your teachers can be used "
9, Which platform for coding practice,"There are various platforms to practice coding like - geeks for geeks , leetcode , hackerrank"
10, Which platform to learn dsa (paid or free),"Some paid resources are coding ninjas , coding blocks , pepcoding free resources - geeks for geeks , pepcoding free resources , youtube  "
11,would being an IT student affect my placement?,"No, being an IT student does not affect you placement "
12,What is the purpose of this form just take our information and do nothing? ,This chatbot has been prepared using your responses to the form 
13,And how this is use full for us?,Can you please clarify your question?
14,language to learn in first year,"You can learn C, C++ , Python , Java or any language that you are comfortable with "
15,Delhi students get hostels?,"No , the students who have taken admission under delhi quota cannot claim admission in hostel even if they reside outside delhi , for more information refer to the college website.Here's the link https://www.igdtuw.ac.in/Hostels.php?id=6"
16,do we need to study books also or only the notes,"You should study according to the syllabus given if the notes cover all the topics then refer notes otherwise use the books, whichever helps you understand better or you can always take help of the internet "
17,Can we register ourselves as mentees on desh ke mentors??,"No , Desh ke mentors is a program fot students of delhi government schools to get guidance , they currently  do not take mentees from colleges "
18,My question is how to stay aware about various events taking place and opportunities for us? ,"Updates about opportunities are sent on whatsapp groups and email by you class representatives or tnp coordinators and you can join telegram groups like minerva and technical resources to stay updated , keep checking linkedin to know about opportunities "
19,Why our university prefer AI proctored over Open book examinations ?,That is purely based on what the university finds better for assessing students 
